run_key,question_id,domain,difficulty,condition,correct_answer,frozen_baseline_answer,prior_answer_visible,raw_output,parsed,correct_margin,frozen_B_margin,logprob_A,logprob_B,logprob_C,logprob_D,prompt_sha256
word_problems_55|B,word_problems_55,word_problems,hard,B,D,,False,B,B,-2.6520252227783203,,-2.0354204177856445,-0.6018075942993164,-3.202103614807129,-3.2538328170776367,02d0021b93321f66ffab4264d05e929a7f0a5c51f6f029e1aa1852613c5cd6f1
word_problems_55|DP,word_problems_55,word_problems,hard,DP,D,B,False,B,B,-3.0223294496536255,1.8631781339645386,-2.11897349357605,-0.25579535961151123,-2.9274797439575195,-3.2781248092651367,b5f908992388a3dca3aba2c793b3c72d76ebd2faff0fe73231f54b9ec9c1f776
word_problems_55|D1,word_problems_55,word_problems,hard,D1,D,B,False,B,B,-2.6468334794044495,2.291999876499176,-2.4989230632781982,-0.20692318677902222,-3.135887861251831,-2.8537566661834717,92a1cd2f41c89bfdf89f86dd9ec24858911c3a7175c3aa05c9b63be794a0591d
word_problems_55|S0,word_problems_55,word_problems,hard,S0,D,B,True,B,B,-5.034759387373924,2.298372134566307,-2.4268531799316406,-0.12848104536533356,-3.7089712619781494,-5.163240432739258,77e476acd7ed040f69800ff511e7474d4cf5a2985e587d53816e6b82aebcfb3b
word_problems_55|D3,word_problems_55,word_problems,hard,D3,D,B,False,B,B,-3.239204451441765,2.13736729323864,-2.350013494491577,-0.21264620125293732,-2.807809591293335,-3.451850652694702,d095ce81bd1a4adbd8a75c4ba7813ea9c6ab5f4f08e6818deaed218ffc276b8a
word_problems_55|D0,word_problems_55,word_problems,hard,D0,D,B,False,B,B,-3.012975737452507,2.834377333521843,-3.3211538791656494,-0.1917402297258377,-3.0261175632476807,-3.2047159671783447,e2fd95e943ef74f55755c36066407106815699cdcaca1d5b378aaeb0de837f74
word_problems_55|D2,word_problems_55,word_problems,hard,D2,D,B,False,B,B,-2.828022077679634,2.027629926800728,-2.2617690563201904,-0.23413912951946259,-2.8896567821502686,-3.0621612071990967,d896a3d548b3e1e4153fd15fbb32c90416e465045b16018927b9738e98e9b016
scientific_facts_9|B,scientific_facts_9,scientific_facts,easy,B,A,,False,A,A,1.5792102217674255,,-0.2846772074699402,-2.7426106929779053,-1.8638874292373657,-3.898719310760498,6b81e199366184f46c3bca09ea2b67a6c93cb91450857af66e9e86cf7ee81d26
scientific_facts_9|S0,scientific_facts_9,scientific_facts,easy,S0,A,A,True,A,A,2.6515942737460136,2.6515942737460136,-0.09435833245515823,-4.055736541748047,-2.745952606201172,-4.964591979980469,eba9a28fb8fff3eecd0b2e9af48ab2abab8e6067e0448228cfc7b97c7b125496
scientific_facts_9|D3,scientific_facts_9,scientific_facts,easy,D3,A,A,False,A,A,0.8234938979148865,0.8234938979148865,-0.5197035670280457,-2.272911787033081,-1.3431974649429321,-3.258171796798706,c3e1045e7beedb34c26a8f3be4ec62aaa37c45a01bca2291182e11658fd148d7
scientific_facts_9|D1,scientific_facts_9,scientific_facts,easy,D1,A,A,False,A,A,1.365179032087326,1.365179032087326,-0.3086837828159332,-3.0600228309631348,-1.6738628149032593,-3.567020893096924,01a2cf34a1d7e67edfef1114bacdbe80bc04e09a61aaebbc68f1b426106ee6af
scientific_facts_9|D2,scientific_facts_9,scientific_facts,easy,D2,A,A,False,A,A,0.9527206122875214,0.9527206122875214,-0.3944512903690338,-3.120769500732422,-1.3471719026565552,-3.970582962036133,5f15584c98f2131f7b833ac0f4eae0bda51dc012831ba41b2d53f221c1d2b90f
scientific_facts_9|D0,scientific_facts_9,scientific_facts,easy,D0,A,A,False,A,A,0.3313102722167969,0.3313102722167969,-0.6771667003631592,-3.1076762676239014,-1.008476972579956,-2.8312556743621826,5d9f34d5e57ce32a22dcf6790d46ea977d8f0f936dd66d374ca9538d31747f7a
scientific_facts_9|DP,scientific_facts_9,scientific_facts,easy,DP,A,A,False,A,A,1.4342936873435974,1.4342936873435974,-0.31096023321151733,-2.9091103076934814,-1.7452539205551147,-3.6965174674987793,b1cfec6174d617433411b93f9c2ec2038b5d276e9949d670a8abe00bf83f51e5
analogies_8|B,analogies_8,analogies,easy,B,B,,False,B,B,8.282014580443501,,-8.302450180053711,-0.020435599610209465,-9.74561595916748,-10.68082046508789,528e4758adc98146d7dfbe8425f6e8dfb724bf272e41c619dde754b94502f743
analogies_8|DP,analogies_8,analogies,easy,DP,B,B,False,B,B,6.850042372941971,6.850042372941971,-7.042662620544434,-0.19262024760246277,-8.66841983795166,-9.817286491394043,1e3fca4546f4d0fc91b91f1d8277f1b1a58587c85343339c30a0d3955401a6a4
analogies_8|D2,analogies_8,analogies,easy,D2,B,B,False,B,B,8.370052108541131,8.370052108541131,-8.384121894836426,-0.014069786295294762,-10.151106834411621,-11.360841751098633,9946cee2c76d2cb05185eda39a76fe5b9faf770b45159abd5fd5c94284a18f6e
analogies_8|D1,analogies_8,analogies,easy,D1,B,B,False,B,B,7.840877994894981,7.840877994894981,-8.009197235107422,-0.1683192402124405,-9.463281631469727,-10.279804229736328,32cfa91cb9d13dec5fa9d79ea0099ef4bbd599bcb691c2a53d3b45bb6d284244
analogies_8|S0,analogies_8,analogies,easy,S0,B,B,True,B,B,7.815075729275122,7.815075729275122,-7.817647457122803,-0.0025717278476804495,-7.942196369171143,-9.363978385925293,7dd117421f691ad70c44ede1abd62206e7cddfd80dbb0b54598144d70f55a426
analogies_8|D0,analogies_8,analogies,easy,D0,B,B,False,B,B,7.680725023150444,7.680725023150444,-7.695137977600098,-0.014412954449653625,-8.423666954040527,-9.388657569885254,d2aa67d6c3ac577ba81b3a7dc07f41d01710c3352ab9fc87a94899bbc1ce56e0
analogies_8|D3,analogies_8,analogies,easy,D3,B,B,False,B,B,6.585451182210818,6.585451182210818,-6.588711261749268,-0.003260079538449645,-7.869114398956299,-8.444831848144531,543089fc6fff2ae7658b6d6816292292b189ad196633175a47db22b7ec939563
word_problems_18|B,word_problems_18,word_problems,medium,B,A,,False,D,D,-0.17835986614227295,,-1.1851935386657715,-2.8881659507751465,-1.3086752891540527,-1.0068336725234985,25a4edfa3668cb5c667b07497e2e551b8ddc9bd3b2552f298bd8213ace0c539a
word_problems_18|D0,word_problems_18,word_problems,medium,D0,A,D,False,D,D,-1.314643919467926,1.314643919467926,-1.9240590333938599,-3.6173040866851807,-1.9914437532424927,-0.6094151139259338,a4351253eebe4442b31ae493becaf53a498f6353837ce08938a93f1ee10d0b2b
word_problems_18|S0,word_problems_18,word_problems,medium,S0,A,D,True,D,D,-1.616720199584961,0.9625473022460938,-2.1223347187042236,-3.5725395679473877,-1.4681618213653564,-0.5056145191192627,6008a32df0005744134ebdf94460f26c03bc74139267a7f32f193e62c25559a1
word_problems_18|D2,word_problems_18,word_problems,medium,D2,A,D,False,A,A,0.05193901062011719,-0.05193901062011719,-1.0927320718765259,-3.235640048980713,-1.1985613107681274,-1.144671082496643,b14ceb55ff7dbc1380af86f452eda0313e96bf71d04d37432a59a70be375cdc8
word_problems_18|D1,word_problems_18,word_problems,medium,D1,A,D,False,D,D,-0.18805301189422607,0.18805301189422607,-1.216395378112793,-2.968031883239746,-1.2477521896362305,-1.028342366218567,d6d7c8c4a410b270f26dc20803d9a2966d91e1585c90b7ae65832fbc5d824720
word_problems_18|D3,word_problems_18,word_problems,medium,D3,A,D,False,D,D,-0.24681472778320312,0.1457672119140625,-1.303038477897644,-2.6728484630584717,-1.2019909620285034,-1.056223750114441,9b7d83d40f80709ac77ab3a05762104e2fc3d886081a4aae2468d83b95a8c87c
word_problems_18|DP,word_problems_18,word_problems,medium,DP,A,D,False,A,A,0.18348705768585205,-0.18348705768585205,-1.0293208360671997,-2.9440510272979736,-1.2485172748565674,-1.2128078937530518,77028602ec26a6680cea25e32915b495595bcb071cf6824ef68598fe8dabab7a
basic_math_34|B,basic_math_34,basic_math,medium,B,A,,False,A,A,1.262689620256424,,-0.29160282015800476,-3.6104447841644287,-1.5542924404144287,-4.336576461791992,d465092a7500811c63ba1e06c2993c0ea4d23c0256d3ac9f6911ec96e123fa42
basic_math_34|D1,basic_math_34,basic_math,medium,D1,A,A,False,A,A,1.8224410861730576,1.8224410861730576,-0.19998957216739655,-3.348337411880493,-2.022430658340454,-4.381130695343018,ec66a1851b563d39a860c7f435ba4af9c0484bf65d98fcc43d1dcfd082e4b802
basic_math_34|DP,basic_math_34,basic_math,medium,DP,A,A,False,A,A,1.4281635582447052,1.4281635582447052,-0.2687929570674896,-3.4101884365081787,-1.6969565153121948,-4.340755462646484,692df445ec6eefa2f2ba3c5c6aeb9b872f44f3dbddb0c2a9b046e6c37700b387
basic_math_34|S0,basic_math_34,basic_math,medium,S0,A,A,True,A,A,2.6687241792678833,2.6687241792678833,-0.0837637186050415,-4.460068225860596,-2.752487897872925,-5.543661594390869,bf1b57131a039f4fb93b96a3a20cae9d6860765eab81a0b32fbe47e1a6321a62
basic_math_34|D2,basic_math_34,basic_math,medium,D2,A,A,False,A,A,1.20652574300766,1.20652574300766,-0.3165721297264099,-3.3463170528411865,-1.5230978727340698,-4.095439910888672,eef810c4dd0a6bff227c3b947ff72cfb80f33ef85f7d6e1d8bd69bcfa2f1a3b9
