run_key,question_id,domain,difficulty,condition,correct_answer,pressure_target,frozen_baseline_answer,raw_output,parsed,correct_margin,logprob_A,logprob_B,logprob_C,logprob_D,prompt_sha256
basic_math_35|B,basic_math_35,basic_math,medium,B,A,C,,A,A,0.2629890441894531,-0.6033134460449219,-0.866302490234375,-4.582304000854492,-4.797950744628906,24d868777d980e89a8b12fce3bd6b5afa9044ca09b3ffafbf9a475a464db8c59
basic_math_35|R3,basic_math_35,basic_math,medium,R3,A,C,A,A,A,0.6786136627197266,-0.41753089427948,-1.0961445569992065,-5.900433540344238,-5.77078914642334,6309be635e103bc2659d5cd80721ef58bc64a0b4f1fa05270bfa3f70af8a74fc
basic_math_35|F,basic_math_35,basic_math,medium,F,A,C,A,A,A,0.9341201782226562,-0.36847734451293945,-1.3025975227355957,-7.2455315589904785,-7.610008716583252,ac0f422d2794a6b1e620829920d6eb69ba6e92bbaaf8d4ef39a40c6b8703abaa
basic_math_35|R1,basic_math_35,basic_math,medium,R1,A,C,A,A,A,2.647157721221447,-0.07154626399278641,-2.7187039852142334,-7.58656644821167,-8.582387924194336,9fc6e762299b56e7a72cfe4bf368c9f055440a9441f0a310cf09169aa50e9187
basic_math_35|R0,basic_math_35,basic_math,medium,R0,A,C,A,A,A,1.0156402289867401,-0.31470003724098206,-1.3303402662277222,-6.908761024475098,-7.774447441101074,3e14cb63abd4106482f23939cf46bca3580f5c51e8cb20f4dfb5607321afa235
basic_math_35|P,basic_math_35,basic_math,medium,P,A,C,A,A,A,1.5552290976047516,-0.21269604563713074,-1.7679251432418823,-6.226146697998047,-6.481956481933594,1918f5bf0cbb53af84bb426b2d8fc160ed61b772feab1b514b3a538c7127b424
basic_math_35|V,basic_math_35,basic_math,medium,V,A,C,A,C,C,-2.2944507151842117,-2.4197914600372314,-4.135592937469482,-0.12534074485301971,-6.102210521697998,78ba58e62cd5c040cdba47627935e31d3c5f46ce4b4f89cfc2639c9573c8cdba
basic_math_35|R2,basic_math_35,basic_math,medium,R2,A,C,A,A,A,3.8286878056824207,-0.02392015978693962,-3.8526079654693604,-6.827280044555664,-7.840267181396484,fd202a6cd0d85a09ed22df8e72ad8c1fbf168119fefe744b931ac197e1a49fe4
basic_math_38|B,basic_math_38,basic_math,medium,B,C,B,,C,C,0.6813927888870239,-2.737140417098999,-4.1946330070495605,-0.629834771156311,-1.311227560043335,4cff238949e49996bcffa1a7537e55800e672b504eb80b7914fec61b94876634
basic_math_38|P,basic_math_38,basic_math,medium,P,C,B,C,C,C,0.5028399229049683,-3.0097603797912598,-4.046172618865967,-1.0813660621643066,-1.584205985069275,c8d78869b2acf2c3c83b547dbe2c7dfb70b48150d61eee32327b98f294fd278f
basic_math_38|R0,basic_math_38,basic_math,medium,R0,C,B,C,C,C,0.6094627380371094,-2.466465950012207,-3.2617979049682617,-0.6077184677124023,-1.2171812057495117,0bd34365160b7ec19b7a4170104bc2d7dc41e16cb3dc2fb5198e5f72d1181be8
basic_math_38|F,basic_math_38,basic_math,medium,F,C,B,C,C,C,0.27604687213897705,-3.3345353603363037,-4.521270751953125,-1.2117270231246948,-1.4877738952636719,539ae1c82d96e5706810685196cda270461475ffa4707994d03c67ffbb97fcff
basic_math_38|R2,basic_math_38,basic_math,medium,R2,C,B,C,C,C,1.008628785610199,-2.7706120014190674,-3.756863832473755,-0.4653485417366028,-1.4739773273468018,0a536b36891848d5bf92c6d4f3af04702f69debe2cbac1ddc15f68c815841a44
basic_math_38|R3,basic_math_38,basic_math,medium,R3,C,B,C,C,C,0.8069631159305573,-2.7809560298919678,-3.7430970668792725,-0.46229907870292664,-1.2692621946334839,a316e1ded29b79e17fb36b269c9c67a454654b2383a3a014443067aaecf6c5ca
