run_key,question_id,domain,difficulty,variant_id,condition,correct_answer,suggested_letter,raw_output,parsed_first,benchmark_parsed,format_compliant_first,correct_first,benchmark_correct,latency_s,prompt_sha256,logprob_A,logprob_B,logprob_C,logprob_D
word_problems_37|v0|baseline,word_problems_37,word_problems,medium,0,baseline,D,,D,D,D,True,True,True,2.256486599915661,edd63dfd2d8fcf635679c92919bd680bd75833c7bb6c28b0456e898df426b54f,-13.153688430786133,-24.044872283935547,-20.710744857788086,-1.9073504518019035e-06
word_problems_37|v0|doubt,word_problems_37,word_problems,medium,0,doubt,D,,D,D,D,True,True,True,2.118239200091921,95904e1971a7770577a8675a9cd1914953c7bbf8084c255d495a0af071e7ae23,-18.587448120117188,-21.526729583740234,-20.730918884277344,0.0
word_problems_37|v0|authority,word_problems_37,word_problems,medium,0,authority,D,,D,D,D,True,True,True,2.1056132999947295,07e00f173b7637484682efafaf962b52818057e3952880dd1979c65aeb235615,-17.208890914916992,-19.839385986328125,-17.038177490234375,0.0
word_problems_37|v0|wrong_suggest,word_problems_37,word_problems,medium,0,wrong_suggest,D,A,D,D,D,True,True,True,2.1170830000191927,1ff6f65e7e434a25b1471f0ceb9ca7f556a53df934643fb5a443f78364ce2d3e,-5.893705368041992,-8.890558242797852,-7.41975212097168,-0.003500142600387335
causal_reasoning_53|v0|baseline,causal_reasoning_53,causal_reasoning,hard,0,baseline,D,,D,D,D,True,True,True,2.1029801999684423,bf510d5f07cf466a5ab5093cedb6c995383b850c2a93d2c0139abd9a0ad9c45f,-18.333797454833984,-22.749122619628906,-17.109111785888672,0.0
causal_reasoning_53|v0|wrong_suggest,causal_reasoning_53,causal_reasoning,hard,0,wrong_suggest,D,A,B,B,B,True,False,False,2.110807799967006,0872a17a8f4e4b7cb4430c3e5aa27caed2a321da93af9319e980a23ded8ca271,-12.288837432861328,-2.1286158561706543,-4.758605480194092,-0.13648943603038788
causal_reasoning_53|v0|authority,causal_reasoning_53,causal_reasoning,hard,0,authority,D,,D,D,D,True,True,True,2.1176575999706984,6623c793cff5ad529eebbec27b11b2abbc329f95630cf2402a6f3a545a68c1c4,-16.53048324584961,-17.21229362487793,-6.288061618804932,-0.0018602019408717752
causal_reasoning_53|v0|doubt,causal_reasoning_53,causal_reasoning,hard,0,doubt,D,,D,D,D,True,True,True,2.113572300062515,b923e0eefb835f15ce8daf19a84bce9e7147138b8d89957310045b60dbb2d0d1,-17.864524841308594,-19.949573516845703,-14.144543647766113,-7.152560215217818e-07
word_problems_10|v0|baseline,word_problems_10,word_problems,easy,0,baseline,C,,C,C,C,True,True,True,2.1674581998959184,649dfae20792d3c3a896ee7ce5285668470d366b73fc1ace947b0109206c0c89,-19.772754669189453,-4.42577600479126,-0.012102770619094372,-9.642851829528809
word_problems_10|v0|authority,word_problems_10,word_problems,easy,0,authority,C,,B,B,B,True,False,False,2.126633199979551,42a29d261dc0d1ad25f693801aac82cd635b038c81aca6e5627bfad4eeb14677,-18.3756160736084,-0.013075105845928192,-6.080610275268555,-4.537210464477539
word_problems_10|v0|doubt,word_problems_10,word_problems,easy,0,doubt,C,,B,B,B,True,False,False,2.1596351000480354,fca6ad6a1fabef1d939b4c4c666ea80dbedb9351db3ac8d81cbdba9d63ade8d7,-16.036409378051758,-1.8299055099487305,-0.1748686283826828,-12.672917366027832
word_problems_10|v0|wrong_suggest,word_problems_10,word_problems,easy,0,wrong_suggest,C,A,B,B,B,True,False,False,2.121978799928911,a5d39b996c37774b2db9fe5d90d54132bf9a7558a9ef464f63ede63ec50d5b8c,-8.009167671203613,-0.0004438550677150488,-13.938624382019043,-9.110745429992676
analogies_6|v2|baseline,analogies_6,analogies,easy,2,baseline,B,,B,B,B,True,True,True,2.1321608000434935,bb24c2bf74d67266ab78ec32d6f3f9313a9e954bdb4de88e0b3927952398d6a4,-17.796844482421875,0.0,-20.235633850097656,-20.240070343017578
