question_id,source_bundle,sample_stratum,subject,correct_answer,prior_baseline_correct,prior_confidence_gap,fresh_T0_matches_prior,answer_flips,unique_answers,trajectory_class,T0_answer,T1_answer,T2_answer,T3_answer,T4_answer,T0_gap,T1_gap,T2_gap,T3_gap,T4_gap,T0_centered_delta,T1_centered_delta,T2_centered_delta,T3_centered_delta,T4_centered_delta
c600:T0007,experiment_consensus600,near_gap_control,college_mathematics,A,True,0.28592872619628906,True,2,2,oscillation,A,D,D,A,A,0.21811485290527344,0.15566062927246094,0.40396302938461304,0.18900108337402344,0.19173061847686768,0.0,-0.17070579528808594,-0.10343176126480103,-0.31774431467056274,-0.14377480745315552
c600:T0024,experiment_consensus600,low_gap_core,nutrition,D,False,0.17172813415527344,True,3,2,wrong_then_correct_recovery,A,D,A,D,D,0.18194961547851562,0.0188140869140625,0.25836181640625,0.21827125549316406,0.32004356384277344,0.0,-0.27138710021972656,-0.21286773681640625,-0.2523089051246643,0.020703375339508057
c600:T0034,experiment_consensus600,low_gap_core,high_school_physics,D,False,0.16138458251953125,True,2,2,oscillation,C,C,A,C,C,0.24967962503433228,0.39970213174819946,0.5067424774169922,0.1269817352294922,0.0787544846534729,0.0,0.04177093505859375,-0.03221708536148071,-0.41132843494415283,-0.28831571340560913
c600:T0063,experiment_consensus600,low_gap_core,anatomy,B,False,0.1364040970802307,True,2,2,oscillation,A,B,B,A,A,0.1458720564842224,0.35082244873046875,0.2728843688964844,1.0564822852611542,0.6846866011619568,0.0,0.0966988205909729,-0.16226762533187866,0.621979683637619,0.4214239716529846
c600:T0090,experiment_consensus600,low_gap_core,college_physics,B,False,0.14609909057617188,True,2,2,oscillation,A,B,B,A,A,0.10720247030258179,0.22677987813949585,0.3837795853614807,0.5853729844093323,0.1794338822364807,0.0,0.011325836181640625,-0.0127028226852417,0.18953996896743774,-0.04515916109085083
c600:T0094,experiment_consensus600,near_gap_control,high_school_computer_science,B,True,0.3407288193702698,True,2,2,oscillation,B,D,D,D,B,0.5114669501781464,0.679750382900238,0.9600658118724823,0.37514883279800415,2.8885497599840164,0.0,0.06003186106681824,0.1593189239501953,-0.42494866251945496,2.2596922367811203
c600:T0096,experiment_consensus600,low_gap_core,clinical_knowledge,D,False,0.09925448894500732,True,3,2,wrong_then_correct_recovery,C,C,D,C,D,0.06913185119628906,0.04654121398925781,0.5025978684425354,0.4177284836769104,0.39834779500961304,0.0,-0.1308422088623047,0.1441860795021057,0.059966087341308594,0.21182537078857422
c600:T0101,experiment_consensus600,low_gap_core,college_physics,D,False,0.07162666320800781,True,2,2,oscillation,B,B,A,B,B,0.06732559204101562,0.5005455613136292,0.07030487060546875,0.23579788208007812,0.09762376546859741,0.0,0.3249683976173401,-0.2863006591796875,-0.12015825510025024,-0.08709239959716797
c600:T0111,experiment_consensus600,near_gap_control,high_school_computer_science,A,False,0.2495822310447693,True,0,1,stable_wrong,B,B,B,B,B,0.23098373413085938,0.3363323211669922,0.31558603048324585,1.3209877610206604,1.5845699310302734,0.0,-0.002902984619140625,-0.20467764139175415,0.8013734817504883,1.2361956238746643
c600:T0120,experiment_consensus600,near_gap_control,global_facts,C,False,0.20090484619140625,True,1,2,wrong_then_correct_recovery,A,A,A,C,C,0.18722915649414062,0.0998077392578125,0.6006868481636047,0.20755380392074585,0.3924465775489807,0.0,-0.19567298889160156,0.12417775392532349,-0.2683058977127075,0.08782684803009033
c600:T0130,experiment_consensus600,low_gap_core,professional_accounting,B,False,0.1263294219970703,True,2,2,oscillation,D,D,D,B,D,0.1722393035888672,0.529029905796051,0.7903710007667542,0.2645989656448364,0.14003169536590576,0.0,0.2485390305519104,0.32885175943374634,-0.1962708830833435,-0.14959818124771118
c600:T0133,experiment_consensus600,low_gap_core,college_chemistry,B,False,0.016002535820007324,True,3,3,oscillation,A,C,D,C,C,0.13428878784179688,0.13723182678222656,0.12233150005340576,0.26969337463378906,0.014698147773742676,0.0,-0.10530853271484375,-0.30123722553253174,-0.15322595834732056,-0.23698121309280396
c600:T0189,experiment_consensus600,low_gap_core,logical_fallacies,C,False,0.022985458374023438,True,1,2,wrong_then_correct_recovery,A,C,C,C,C,0.020185470581054688,1.946334794163704,1.162462204694748,1.6881103366613388,1.3830184638500214,0.0,1.8178977519273758,0.8529967963695526,1.3792943209409714,1.245442420244217
c600:T0195,experiment_consensus600,low_gap_core,international_law,C,False,0.11363786458969116,True,1,2,wrong_then_correct_recovery,A,A,A,C,C,0.09226411581039429,0.14492416381835938,0.30503273010253906,0.07068634033203125,0.460884153842926,0.0,-0.05559152364730835,-0.07651132345199585,-0.3102083206176758,0.251229465007782
c600:T0201,experiment_consensus600,near_gap_control,formal_logic,B,True,0.3025836944580078,True,3,2,correct_then_wrong_collapse,B,D,B,B,D,0.35529524087905884,0.6267433166503906,0.9384269714355469,0.23132318258285522,2.350433371961117,0.0,0.16319650411605835,0.2938517928123474,-0.41260260343551636,1.8777475580573082
c600:T0213,experiment_consensus600,near_gap_control,professional_psychology,B,True,0.4651068449020386,True,0,1,stable_correct,B,B,B,B,B,0.4672622084617615,0.6997700333595276,0.765724241733551,0.9545554220676422,0.4910184144973755,0.0,0.12425625324249268,0.009182095527648926,0.198662668466568,-0.09363436698913574
