call_index,run_key,question_id,placement,replicate_stream,correct_display_slot,parsed_display_answer,parsed_answer,correct,model_call_count
1,mmlu-0556|P0|R2,mmlu-0556,P0,R2,B,B,B,True,1
2,mmlu-0772|P0|R2,mmlu-0772,P0,R2,C,C,D,True,1
3,mmlu-0661|P2|R1,mmlu-0661,P2,R1,D,D,A,True,1
4,mmlu-0305|P0|R1,mmlu-0305,P0,R1,B,C,C,False,1
5,mmlu-0648|P2|R2,mmlu-0648,P2,R2,D,B,C,False,1
6,mmlu-0067|P2|R1,mmlu-0067,P2,R1,D,D,C,True,1
7,mmlu-0592|P2|R1,mmlu-0592,P2,R1,B,A,B,False,1
8,mmlu-0813|P1|R1,mmlu-0813,P1,R1,C,D,A,False,1
9,mmlu-0182|P1|R2,mmlu-0182,P1,R2,D,A,D,False,1
10,mmlu-0107|P1|R2,mmlu-0107,P1,R2,B,D,A,False,1
11,mmlu-0555|P2|R1,mmlu-0555,P2,R1,D,D,B,True,1
12,mmlu-0447|P1|R1,mmlu-0447,P1,R1,C,D,B,False,1
13,mmlu-0599|P0|R1,mmlu-0599,P0,R1,C,A,D,False,1
14,mmlu-0681|P2|R1,mmlu-0681,P2,R1,C,C,D,True,1
15,mmlu-0182|P0|R2,mmlu-0182,P0,R2,C,B,D,False,1
16,mmlu-0681|P1|R2,mmlu-0681,P1,R2,A,A,D,True,1
17,mmlu-0150|P2|R1,mmlu-0150,P2,R1,C,C,B,True,1
18,mmlu-0184|P3|R1,mmlu-0184,P3,R1,C,C,D,True,1
19,mmlu-0107|P0|R1,mmlu-0107,P0,R1,D,C,A,False,1
20,mmlu-0036|P0|R1,mmlu-0036,P0,R1,A,A,D,True,1
21,mmlu-0715|P3|R2,mmlu-0715,P3,R2,D,D,B,True,1
22,mmlu-0403|P1|R2,mmlu-0403,P1,R2,D,B,C,False,1
23,mmlu-0767|P1|R1,mmlu-0767,P1,R1,A,C,C,False,1
24,mmlu-0170|P1|R2,mmlu-0170,P1,R2,C,C,C,True,1
25,mmlu-0357|P2|R1,mmlu-0357,P2,R1,A,A,B,True,1
26,mmlu-0140|P1|R1,mmlu-0140,P1,R1,A,A,D,True,1
27,mmlu-0452|P2|R1,mmlu-0452,P2,R1,C,C,D,True,1
28,mmlu-0015|P0|R2,mmlu-0015,P0,R2,C,C,B,True,1
29,mmlu-0292|P3|R2,mmlu-0292,P3,R2,D,C,D,False,1
30,mmlu-0182|P0|R1,mmlu-0182,P0,R1,C,B,D,False,1
31,mmlu-0357|P0|R1,mmlu-0357,P0,R1,D,A,A,False,1
32,mmlu-0070|P3|R1,mmlu-0070,P3,R1,C,A,D,False,1
33,mmlu-0184|P2|R1,mmlu-0184,P2,R1,A,C,C,False,1
34,mmlu-0652|P1|R1,mmlu-0652,P1,R1,A,C,B,False,1
35,mmlu-0984|P3|R2,mmlu-0984,P3,R2,D,D,A,True,1
36,mmlu-0183|P1|R2,mmlu-0183,P1,R2,B,B,B,True,1
37,mmlu-0013|P3|R2,mmlu-0013,P3,R2,D,D,B,True,1
38,mmlu-0354|P3|R1,mmlu-0354,P3,R1,A,D,D,False,1
39,mmlu-0107|P3|R1,mmlu-0107,P3,R1,C,B,C,False,1
40,mmlu-0843|P0|R2,mmlu-0843,P0,R2,A,C,D,False,1
41,mmlu-0186|P2|R2,mmlu-0186,P2,R2,A,A,C,True,1
42,mmlu-0482|P3|R1,mmlu-0482,P3,R1,C,C,B,True,1
43,mmlu-0841|P3|R1,mmlu-0841,P3,R1,C,C,A,True,1
44,mmlu-0211|P3|R1,mmlu-0211,P3,R1,C,C,A,True,1
45,mmlu-0767|P3|R2,mmlu-0767,P3,R2,D,D,D,True,1
46,mmlu-0183|P3|R1,mmlu-0183,P3,R1,C,C,B,True,1
47,mmlu-0184|P3|R2,mmlu-0184,P3,R2,C,C,D,True,1
48,mmlu-0835|P3|R2,mmlu-0835,P3,R2,A,C,B,False,1
49,mmlu-0153|P1|R1,mmlu-0153,P1,R1,C,C,A,True,1
50,mmlu-0556|P3|R2,mmlu-0556,P3,R2,D,D,B,True,1
51,mmlu-0880|P0|R1,mmlu-0880,P0,R1,A,B,D,False,1
52,mmlu-0792|P3|R1,mmlu-0792,P3,R1,D,A,A,False,1
53,mmlu-0681|P0|R2,mmlu-0681,P0,R2,B,B,D,True,1
54,mmlu-0292|P3|R1,mmlu-0292,P3,R1,D,C,D,False,1
55,mmlu-0067|P1|R1,mmlu-0067,P1,R1,C,C,C,True,1
56,mmlu-0070|P0|R1,mmlu-0070,P0,R1,D,C,D,False,1
57,mmlu-0098|P2|R2,mmlu-0098,P2,R2,A,D,C,False,1
58,mmlu-0715|P1|R1,mmlu-0715,P1,R1,A,A,B,True,1
59,mmlu-0357|P1|R1,mmlu-0357,P1,R1,B,A,C,False,1
60,mmlu-0743|P2|R2,mmlu-0743,P2,R2,A,A,D,True,1
61,mmlu-0211|P0|R2,mmlu-0211,P0,R2,D,D,A,True,1
62,mmlu-0796|P0|R2,mmlu-0796,P0,R2,A,C,D,False,1
63,mmlu-0284|P0|R1,mmlu-0284,P0,R1,D,D,D,True,1
64,mmlu-0475|P2|R2,mmlu-0475,P2,R2,B,C,A,False,1
65,mmlu-0140|P0|R1,mmlu-0140,P0,R1,B,D,C,False,1
66,mmlu-0977|P0|R2,mmlu-0977,P0,R2,C,C,A,True,1
67,mmlu-0761|P3|R1,mmlu-0761,P3,R1,B,D,C,False,1
68,mmlu-0681|P1|R1,mmlu-0681,P1,R1,A,A,D,True,1
69,mmlu-0742|P1|R2,mmlu-0742,P1,R2,C,C,A,True,1
70,mmlu-0745|P3|R2,mmlu-0745,P3,R2,B,C,D,False,1
71,mmlu-0663|P0|R2,mmlu-0663,P0,R2,D,D,A,True,1
72,mmlu-0182|P3|R1,mmlu-0182,P3,R1,A,A,C,True,1
73,mmlu-0233|P3|R2,mmlu-0233,P3,R2,A,D,A,False,1
74,mmlu-0288|P1|R2,mmlu-0288,P1,R2,C,A,B,False,1
75,mmlu-0515|P1|R2,mmlu-0515,P1,R2,B,A,A,False,1
76,mmlu-0153|P0|R2,mmlu-0153,P0,R2,A,A,A,True,1
77,mmlu-0140|P0|R2,mmlu-0140,P0,R2,B,D,C,False,1
78,mmlu-0211|P2|R1,mmlu-0211,P2,R1,A,A,A,True,1
79,mmlu-0515|P3|R1,mmlu-0515,P3,R1,C,A,C,False,1
80,mmlu-0448|P0|R2,mmlu-0448,P0,R2,C,D,B,False,1
81,mmlu-0761|P0|R1,mmlu-0761,P0,R1,A,B,C,False,1
82,mmlu-0013|P1|R1,mmlu-0013,P1,R1,A,D,A,False,1
83,mmlu-0920|P0|R1,mmlu-0920,P0,R1,D,D,B,True,1
84,mmlu-0286|P1|R2,mmlu-0286,P1,R2,C,C,D,True,1
85,mmlu-0745|P1|R1,mmlu-0745,P1,R1,C,C,A,True,1
86,mmlu-0696|P0|R2,mmlu-0696,P0,R2,B,C,B,False,1
87,mmlu-0150|P1|R1,mmlu-0150,P1,R1,A,A,B,True,1
88,mmlu-0984|P2|R1,mmlu-0984,P2,R1,C,A,C,False,1
89,mmlu-0482|P2|R1,mmlu-0482,P2,R1,A,A,B,True,1
90,mmlu-0001|P3|R1,mmlu-0001,P3,R1,A,A,B,True,1
91,mmlu-0233|P3|R1,mmlu-0233,P3,R1,A,D,A,False,1
92,mmlu-0482|P1|R2,mmlu-0482,P1,R2,B,B,B,True,1
93,mmlu-0442|P1|R1,mmlu-0442,P1,R1,C,C,D,True,1
94,mmlu-0107|P0|R2,mmlu-0107,P0,R2,D,C,A,False,1
95,mmlu-0509|P0|R1,mmlu-0509,P0,R1,C,C,D,True,1
96,mmlu-0854|P3|R2,mmlu-0854,P3,R2,C,A,B,False,1
97,mmlu-0920|P3|R1,mmlu-0920,P3,R1,C,C,B,True,1
98,mmlu-0792|P2|R1,mmlu-0792,P2,R1,C,C,B,True,1
99,mmlu-0825|P2|R1,mmlu-0825,P2,R1,B,A,B,False,1
100,mmlu-0854|P2|R2,mmlu-0854,P2,R2,A,D,A,False,1
101,mmlu-0280|P2|R2,mmlu-0280,P2,R2,D,D,C,True,1
102,mmlu-0796|P0|R1,mmlu-0796,P0,R1,A,C,D,False,1
103,mmlu-0446|P2|R2,mmlu-0446,P2,R2,B,A,C,False,1
104,mmlu-0284|P3|R2,mmlu-0284,P3,R2,C,C,D,True,1
105,mmlu-0825|P3|R2,mmlu-0825,P3,R2,A,A,C,True,1
106,mmlu-0743|P0|R1,mmlu-0743,P0,R1,D,C,B,False,1
107,mmlu-0286|P2|R2,mmlu-0286,P2,R2,D,D,D,True,1
108,mmlu-0984|P0|R2,mmlu-0984,P0,R2,B,D,C,False,1
109,mmlu-0345|P3|R1,mmlu-0345,P3,R1,B,A,B,False,1
110,mmlu-0286|P3|R2,mmlu-0286,P3,R2,B,B,D,True,1
111,mmlu-0176|P3|R2,mmlu-0176,P3,R2,A,D,A,False,1
112,mmlu-0286|P3|R1,mmlu-0286,P3,R1,B,B,D,True,1
113,mmlu-0357|P3|R2,mmlu-0357,P3,R2,C,A,D,False,1
114,mmlu-0743|P3|R1,mmlu-0743,P3,R1,C,C,D,True,1
115,mmlu-0880|P1|R1,mmlu-0880,P1,R1,C,C,C,True,1
116,mmlu-0070|P2|R1,mmlu-0070,P2,R1,A,A,A,True,1
117,mmlu-0288|P2|R1,mmlu-0288,P2,R1,D,D,A,True,1
118,mmlu-0305|P2|R1,mmlu-0305,P2,R1,C,C,D,True,1
119,mmlu-0854|P1|R1,mmlu-0854,P1,R1,B,D,B,False,1
120,mmlu-0482|P0|R1,mmlu-0482,P0,R1,D,D,B,True,1
121,mmlu-0284|P2|R1,mmlu-0284,P2,R1,A,D,A,False,1
122,mmlu-0509|P1|R1,mmlu-0509,P1,R1,D,D,D,True,1
123,mmlu-0648|P3|R1,mmlu-0648,P3,R1,B,B,B,True,1
124,mmlu-0447|P2|R1,mmlu-0447,P2,R1,D,C,D,False,1
125,mmlu-0292|P0|R2,mmlu-0292,P0,R2,B,B,A,True,1
126,mmlu-0556|P0|R1,mmlu-0556,P0,R1,B,B,B,True,1
127,mmlu-0796|P3|R2,mmlu-0796,P3,R2,B,A,D,False,1
128,mmlu-0761|P2|R2,mmlu-0761,P2,R2,D,C,C,False,1
129,mmlu-0599|P1|R1,mmlu-0599,P1,R1,D,A,A,False,1
130,mmlu-0555|P3|R1,mmlu-0555,P3,R1,B,B,B,True,1
131,mmlu-0191|P0|R1,mmlu-0191,P0,R1,D,D,C,True,1
132,mmlu-0442|P0|R1,mmlu-0442,P0,R1,A,D,C,False,1
133,mmlu-0001|P2|R1,mmlu-0001,P2,R1,B,B,B,True,1
134,mmlu-0183|P2|R2,mmlu-0183,P2,R2,A,D,C,False,1
135,mmlu-0592|P3|R2,mmlu-0592,P3,R2,A,C,B,False,1
136,mmlu-0663|P3|R1,mmlu-0663,P3,R1,C,C,A,True,1
137,mmlu-0001|P0|R1,mmlu-0001,P0,R1,C,C,B,True,1
138,mmlu-0255|P3|R1,mmlu-0255,P3,R1,B,C,A,False,1
139,mmlu-0813|P2|R2,mmlu-0813,P2,R2,D,D,D,True,1
140,mmlu-0280|P1|R2,mmlu-0280,P1,R2,C,C,C,True,1
141,mmlu-0183|P2|R1,mmlu-0183,P2,R1,A,D,C,False,1
142,mmlu-0176|P1|R1,mmlu-0176,P1,R1,D,C,C,False,1
143,mmlu-0421|P3|R2,mmlu-0421,P3,R2,D,C,B,False,1
144,mmlu-0098|P0|R1,mmlu-0098,P0,R1,D,A,C,False,1
145,mmlu-0421|P0|R2,mmlu-0421,P0,R2,B,B,C,True,1
146,mmlu-0421|P2|R2,mmlu-0421,P2,R2,C,A,B,False,1
147,mmlu-0648|P1|R2,mmlu-0648,P1,R2,C,C,B,True,1
148,mmlu-0984|P0|R1,mmlu-0984,P0,R1,B,D,C,False,1
149,mmlu-0767|P2|R1,mmlu-0767,P2,R1,C,D,C,False,1
150,mmlu-0354|P2|R2,mmlu-0354,P2,R2,B,D,C,False,1
151,mmlu-0843|P1|R1,mmlu-0843,P1,R1,C,C,B,True,1
152,mmlu-0345|P3|R2,mmlu-0345,P3,R2,B,A,B,False,1
153,mmlu-0977|P1|R1,mmlu-0977,P1,R1,D,D,A,True,1
154,mmlu-0448|P1|R1,mmlu-0448,P1,R1,D,D,C,True,1
155,mmlu-0592|P0|R2,mmlu-0592,P0,R2,C,C,A,True,1
156,mmlu-0592|P2|R2,mmlu-0592,P2,R2,B,A,B,False,1
157,mmlu-0448|P2|R1,mmlu-0448,P2,R1,B,D,A,False,1
158,mmlu-0843|P3|R1,mmlu-0843,P3,R1,B,D,A,False,1
159,mmlu-0211|P0|R1,mmlu-0211,P0,R1,D,D,A,True,1
160,mmlu-0211|P3|R2,mmlu-0211,P3,R2,C,C,A,True,1
161,mmlu-0255|P2|R2,mmlu-0255,P2,R2,D,A,A,False,1
162,mmlu-0977|P2|R1,mmlu-0977,P2,R1,B,B,A,True,1
163,mmlu-0556|P3|R1,mmlu-0556,P3,R1,D,D,B,True,1
164,mmlu-0345|P0|R2,mmlu-0345,P0,R2,A,C,B,False,1
165,mmlu-0452|P0|R2,mmlu-0452,P0,R2,B,D,C,False,1
166,mmlu-0305|P1|R2,mmlu-0305,P1,R2,A,A,D,True,1
167,mmlu-0825|P1|R2,mmlu-0825,P1,R2,D,D,C,True,1
168,mmlu-0772|P3|R2,mmlu-0772,P3,R2,A,B,C,False,1
169,mmlu-0841|P2|R2,mmlu-0841,P2,R2,A,A,A,True,1
170,mmlu-0288|P0|R2,mmlu-0288,P0,R2,A,B,B,False,1
171,mmlu-0592|P1|R2,mmlu-0592,P1,R2,D,D,A,True,1
172,mmlu-0565|P3|R2,mmlu-0565,P3,R2,D,A,D,False,1
173,mmlu-0565|P1|R2,mmlu-0565,P1,R2,A,D,D,False,1
174,mmlu-0984|P2|R2,mmlu-0984,P2,R2,C,A,C,False,1
175,mmlu-0070|P0|R2,mmlu-0070,P0,R2,D,C,D,False,1
176,mmlu-0067|P2|R2,mmlu-0067,P2,R2,D,D,C,True,1
177,mmlu-0652|P3|R2,mmlu-0652,P3,R2,D,D,D,True,1
178,mmlu-0475|P1|R2,mmlu-0475,P1,R2,D,A,A,False,1
179,mmlu-0305|P3|R2,mmlu-0305,P3,R2,D,C,B,False,1
180,mmlu-0170|P1|R1,mmlu-0170,P1,R1,C,C,C,True,1
181,mmlu-0742|P3|R2,mmlu-0742,P3,R2,B,B,A,True,1
182,mmlu-0403|P3|R1,mmlu-0403,P3,R1,A,D,D,False,1
183,mmlu-0107|P3|R2,mmlu-0107,P3,R2,C,B,C,False,1
184,mmlu-0153|P2|R1,mmlu-0153,P2,R1,D,D,A,True,1
185,mmlu-0796|P1|R2,mmlu-0796,P1,R2,C,A,A,False,1
186,mmlu-0354|P0|R2,mmlu-0354,P0,R2,C,D,B,False,1
187,mmlu-0648|P2|R1,mmlu-0648,P2,R1,D,B,C,False,1
188,mmlu-0792|P0|R2,mmlu-0792,P0,R2,B,B,B,True,1
189,mmlu-0442|P0|R2,mmlu-0442,P0,R2,A,D,C,False,1
190,mmlu-0183|P3|R2,mmlu-0183,P3,R2,C,C,B,True,1
191,mmlu-0565|P1|R1,mmlu-0565,P1,R1,A,D,D,False,1
192,mmlu-0825|P0|R1,mmlu-0825,P0,R1,C,A,A,False,1
193,mmlu-0186|P3|R1,mmlu-0186,P3,R1,C,C,C,True,1
194,mmlu-0067|P1|R2,mmlu-0067,P1,R2,C,C,C,True,1
195,mmlu-0403|P1|R1,mmlu-0403,P1,R1,D,B,C,False,1
196,mmlu-0452|P3|R2,mmlu-0452,P3,R2,D,D,D,True,1
197,mmlu-0098|P3|R2,mmlu-0098,P3,R2,C,B,C,False,1
198,mmlu-0286|P0|R1,mmlu-0286,P0,R1,A,B,C,False,1
199,mmlu-0184|P1|R2,mmlu-0184,P1,R2,B,B,D,True,1
200,mmlu-0813|P1|R2,mmlu-0813,P1,R2,C,D,A,False,1
201,mmlu-0515|P2|R1,mmlu-0515,P2,R1,A,C,A,False,1
202,mmlu-0652|P0|R2,mmlu-0652,P0,R2,B,B,D,True,1
203,mmlu-0284|P1|R1,mmlu-0284,P1,R1,B,C,A,False,1
204,mmlu-0233|P0|R1,mmlu-0233,P0,R1,C,B,A,False,1
205,mmlu-0475|P1|R1,mmlu-0475,P1,R1,D,A,A,False,1
206,mmlu-0715|P2|R1,mmlu-0715,P2,R1,C,C,B,True,1
207,mmlu-0001|P0|R2,mmlu-0001,P0,R2,C,C,B,True,1
208,mmlu-0013|P1|R2,mmlu-0013,P1,R2,A,D,A,False,1
209,mmlu-0446|P0|R2,mmlu-0446,P0,R2,C,A,D,False,1
210,mmlu-0067|P0|R2,mmlu-0067,P0,R2,A,D,D,False,1
211,mmlu-0150|P0|R2,mmlu-0150,P0,R2,B,A,C,False,1
212,mmlu-0835|P2|R1,mmlu-0835,P2,R1,B,A,B,False,1
213,mmlu-0482|P3|R2,mmlu-0482,P3,R2,C,C,B,True,1
214,mmlu-0652|P1|R2,mmlu-0652,P1,R2,A,C,B,False,1
215,mmlu-0070|P2|R2,mmlu-0070,P2,R2,A,A,A,True,1
216,mmlu-0036|P3|R1,mmlu-0036,P3,R1,B,B,D,True,1
217,mmlu-0448|P3|R2,mmlu-0448,P3,R2,A,D,D,False,1
218,mmlu-0170|P0|R1,mmlu-0170,P0,R1,A,A,C,True,1
219,mmlu-0036|P0|R2,mmlu-0036,P0,R2,A,A,D,True,1
