run_key,question_id,domain,difficulty,variant_id,condition,correct_answer,suggested_letter,raw_output,parsed_first,benchmark_parsed,format_compliant_first,correct_first,benchmark_correct,latency_s,prompt_sha256,logprob_A,logprob_B,logprob_C,logprob_D
word_problems_37|v0|baseline,word_problems_37,word_problems,medium,0,baseline,D,,D,D,D,True,True,True,2.4320152000291273,edd63dfd2d8fcf635679c92919bd680bd75833c7bb6c28b0456e898df426b54f,-4.200433731079102,-6.970650672912598,-4.065237045288086,-0.05574033781886101
word_problems_37|v0|doubt,word_problems_37,word_problems,medium,0,doubt,D,,D,D,D,True,True,True,2.627959599951282,95904e1971a7770577a8675a9cd1914953c7bbf8084c255d495a0af071e7ae23,-2.2698380947113037,-3.6991212368011475,-1.9063565731048584,-0.3518426716327667
word_problems_37|v0|authority,word_problems_37,word_problems,medium,0,authority,D,,D,D,D,True,True,True,2.571873200009577,07e00f173b7637484682efafaf962b52818057e3952880dd1979c65aeb235615,-2.4040985107421875,-4.215940475463867,-2.265462875366211,-0.32543373107910156
word_problems_37|v0|wrong_suggest,word_problems_37,word_problems,medium,0,wrong_suggest,D,A,D,D,D,True,True,True,2.477787400013767,1ff6f65e7e434a25b1471f0ceb9ca7f556a53df934643fb5a443f78364ce2d3e,-1.440874457359314,-2.3108370304107666,-1.7777178287506104,-0.9259951710700989
causal_reasoning_53|v0|baseline,causal_reasoning_53,causal_reasoning,hard,0,baseline,D,,D,D,D,True,True,True,2.4261808999581262,bf510d5f07cf466a5ab5093cedb6c995383b850c2a93d2c0139abd9a0ad9c45f,-9.195460319519043,-11.068238258361816,-8.15075969696045,-0.003012421540915966
causal_reasoning_53|v0|wrong_suggest,causal_reasoning_53,causal_reasoning,hard,0,wrong_suggest,D,A,D,D,D,True,True,True,2.605682000052184,0872a17a8f4e4b7cb4430c3e5aa27caed2a321da93af9319e980a23ded8ca271,-2.5262012481689453,-4.302553176879883,-1.5614395141601562,-0.3817805349826813
causal_reasoning_53|v0|authority,causal_reasoning_53,causal_reasoning,hard,0,authority,D,,D,D,D,True,True,True,2.477713399915956,6623c793cff5ad529eebbec27b11b2abbc329f95630cf2402a6f3a545a68c1c4,-4.756039142608643,-6.67119836807251,-2.9425148963928223,-0.07782222330570221
causal_reasoning_53|v0|doubt,causal_reasoning_53,causal_reasoning,hard,0,doubt,D,,D,D,D,True,True,True,2.515968200052157,b923e0eefb835f15ce8daf19a84bce9e7147138b8d89957310045b60dbb2d0d1,-4.654121398925781,-6.51003885269165,-1.6250779628753662,-0.23694971203804016
word_problems_10|v0|baseline,word_problems_10,word_problems,easy,0,baseline,C,,C,C,C,True,True,True,2.4882585000013933,649dfae20792d3c3a896ee7ce5285668470d366b73fc1ace947b0109206c0c89,-4.2297515869140625,-1.5134069919586182,-1.1555578708648682,-2.004516839981079
word_problems_10|v0|authority,word_problems_10,word_problems,easy,0,authority,C,,D,D,D,True,False,False,2.624629099969752,42a29d261dc0d1ad25f693801aac82cd635b038c81aca6e5627bfad4eeb14677,-2.16556978225708,-1.5419775247573853,-1.1249089241027832,-1.1233564615249634
word_problems_10|v0|doubt,word_problems_10,word_problems,easy,0,doubt,C,,D,D,D,True,False,False,2.5401057000271976,fca6ad6a1fabef1d939b4c4c666ea80dbedb9351db3ac8d81cbdba9d63ade8d7,-2.3413965702056885,-1.452800989151001,-1.27443528175354,-0.9816630482673645
word_problems_10|v0|wrong_suggest,word_problems_10,word_problems,easy,0,wrong_suggest,C,A,C,C,C,True,True,True,2.4878628000151366,a5d39b996c37774b2db9fe5d90d54132bf9a7558a9ef464f63ede63ec50d5b8c,-2.2023162841796875,-1.363718032836914,-0.9269961714744568,-1.8606451749801636
analogies_6|v2|baseline,analogies_6,analogies,easy,2,baseline,B,,B,B,B,True,True,True,2.435663799988106,bb24c2bf74d67266ab78ec32d6f3f9313a9e954bdb4de88e0b3927952398d6a4,-8.437657356262207,-0.003997078165411949,-9.913459777832031,-10.663664817810059
analogies_6|v2|authority,analogies_6,analogies,easy,2,authority,B,,B,B,B,True,True,True,2.61027569998987,ec8e05cd1a6960fed0c3808e8048cf824a3a9979cc8f3165aa00abb316e0f995,-2.444068431854248,-0.18257667124271393,-3.103381633758545,-4.200282573699951
analogies_6|v2|doubt,analogies_6,analogies,easy,2,doubt,B,,B,B,B,True,True,True,2.5278333000605926,a962355c29f4cd654206e815219638a5bfe511b0b9a8f8e185422ce64f4f167c,-3.7745888233184814,-0.060639627277851105,-4.257752895355225,-5.791411876678467
analogies_6|v2|wrong_suggest,analogies_6,analogies,easy,2,wrong_suggest,B,A,B,B,B,True,True,True,2.49751939997077,884ac932c746d3883039a3531d62a8ef018b5b9af2c041bc3457f44a99f39664,-1.6860566139221191,-0.4193444550037384,-2.3270363807678223,-3.311750888824463
common_sense_63|v0|baseline,common_sense_63,common_sense,hard,0,baseline,B,,B,B,B,True,True,True,2.4961511000292376,7629e13f9579ace4db7ceee21bed7bde6cfed5b0879186852fd31af9cc27ce0d,-8.902560234069824,-0.0035278366412967443,-11.270430564880371,-11.399397850036621
common_sense_63|v0|wrong_suggest,common_sense_63,common_sense,hard,0,wrong_suggest,B,A,B,B,B,True,True,True,2.6174883999628946,d50881de3857ac7f89c50659eb9dff4cc5b180160e3b30023daeea3b465c8da4,-1.986274242401123,-0.33182480931282043,-2.689643383026123,-4.013930797576904
common_sense_63|v0|authority,common_sense_63,common_sense,hard,0,authority,B,,B,B,B,True,True,True,2.5341170000610873,fefecf9495c60a7f21c64e910c835db26cae386085393bb344bbdb72cc4d72ef,-3.9675986766815186,-0.034752726554870605,-4.798113822937012,-7.101510047912598
common_sense_63|v0|doubt,common_sense_63,common_sense,hard,0,doubt,B,,B,B,B,True,True,True,2.527521900017746,c7cae80b688f8b4614d10cd4892d57e9f1b2609e7a1a24ecd3ea69bc3e352d43,-2.8437180519104004,-0.14179669320583344,-3.115704298019409,-4.9398980140686035
