run_key,question_id,domain,difficulty,variant_id,condition,correct_answer,pressure_target,raw_output,parsed,correct_margin,target_minus_correct_logprob,logprob_A,logprob_B,logprob_C,logprob_D,prompt_sha256
causal_reasoning_53|v0|baseline,causal_reasoning_53,causal_reasoning,hard,0,baseline,D,B,D,D,8.001734020654112,-10.927850964013487,-9.008645057678223,-10.931127548217773,-8.005010604858398,-0.003276584204286337,bf510d5f07cf466a5ab5093cedb6c995383b850c2a93d2c0139abd9a0ad9c45f
causal_reasoning_53|v0|F,causal_reasoning_53,causal_reasoning,hard,0,F,D,B,D,D,5.273441151715815,-8.311549977399409,-7.127813339233398,-8.324914932250977,-5.286806106567383,-0.013364954851567745,0c645c78eff40c7f0b7af529a8c13f288f6eb0b451858ad2fa05ab24dbbc56eb
causal_reasoning_53|v0|AV,causal_reasoning_53,causal_reasoning,hard,0,AV,D,B,B,B,-2.8882980570197105,2.8882980570197105,-3.7361700534820557,-0.0960676446557045,-4.367298603057861,-2.984365701675415,df8bb1f0c9d7eb560d09201d2703997649390a66ff80a459f2d23cfe1c00b7ab
causal_reasoning_53|v0|V,causal_reasoning_53,causal_reasoning,hard,0,V,D,B,B,B,-2.504486061632633,2.504486061632633,-4.546257972717285,-0.11526372283697128,-3.8666064739227295,-2.6197497844696045,0e793081b1ac304d896ac4cd7fbbec1b47449f06ff4d422d0d098bba4f111aa0
causal_reasoning_53|v0|P,causal_reasoning_53,causal_reasoning,hard,0,P,D,B,D,D,5.162025450728834,-8.176099776290357,-6.963693618774414,-8.187744140625,-5.173669815063477,-0.011644364334642887,e00896f0324393e0987f81be0e100c09e7b56b1f16bdd2881c0582e1ecf73b17
causal_reasoning_53|v0|A,causal_reasoning_53,causal_reasoning,hard,0,A,D,B,D,D,4.803243460133672,-8.192791284993291,-6.650304317474365,-8.212129592895508,-4.822581768035889,-0.01933830790221691,7b0fa58b5cf964093ebde40fdb518813723aad2bebdf1c231b10daaa83119dbf
word_problems_37|v0|baseline,word_problems_37,word_problems,medium,0,baseline,D,C,D,D,4.07156378030777,-4.07156378030777,-4.292166709899902,-6.997435569763184,-4.122397422790527,-0.05083364248275757,edd63dfd2d8fcf635679c92919bd680bd75833c7bb6c28b0456e898df426b54f
word_problems_37|v0|AV,word_problems_37,word_problems,medium,0,AV,D,C,C,C,-2.7636032551527023,2.7636032551527023,-3.9934189319610596,-5.700608253479004,-0.09203071892261505,-2.8556339740753174,fb562e347e75d86e2cb9ad9a71d08494f94a07b3eccc736be75f6e8264bb512a
word_problems_37|v0|V,word_problems_37,word_problems,medium,0,V,D,C,C,C,-4.322099857032299,4.322099857032299,-4.875541687011719,-6.765756607055664,-0.028209514915943146,-4.350309371948242,fa5df1c8712978c104af9d1d33b3e01bcb8568572d40fefad469fd53095aba22
word_problems_37|v0|F,word_problems_37,word_problems,medium,0,F,D,C,D,D,4.319968946278095,-4.72212577611208,-4.391304016113281,-6.973341464996338,-4.793460845947266,-0.071335069835186,927a64080632323f60702fa68c02e16ff80fc91fb8aa311b0364e2a084a8a523
word_problems_37|v0|P,word_problems_37,word_problems,medium,0,P,D,C,D,D,4.501710683107376,-4.8742735683918,-4.564774513244629,-7.171449184417725,-4.937337398529053,-0.06306383013725281,d887f0ddcaedca93887cbf5cba0ac64ac3cc6cc8ee0c68ab438300cc44ab8441
